scenario,target,profile,method,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
logistic_glm,beta_1,P4,ppi,0.975,1.0,1.0,1.0,1.0,1.0,1.0571362964462574,1.0571362964462574,1.0571362964462574,1.0571362964462574,1.0571362964462574,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_1,P4,ppi_plus_plus,0.9,0.935,0.935,0.935,0.935,0.935,0.960911393651914,0.960911393651914,0.960911393651914,0.960911393651914,0.960911393651914,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,1,200
logistic_glm,beta_1,P4,ppi_plus_plus,0.95,0.965,0.965,0.965,0.965,0.965,0.9609113936519134,0.9609113936519134,0.9609113936519134,0.9609113936519134,0.9609113936519134,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_1,P4,ppi_plus_plus,0.975,0.985,0.985,0.985,0.985,0.985,0.9609113936519132,0.9609113936519132,0.9609113936519132,0.9609113936519132,0.9609113936519132,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,1,200
logistic_glm,beta_1,baseline,classic,0.9,0.92,0.92,0.92,0.92,0.92,1.0,1.0,1.0,1.0,1.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,baseline,classic,0.95,0.97,0.97,0.97,0.97,0.97,1.0,1.0,1.0,1.0,1.0,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_1,baseline,classic,0.975,0.98,0.98,0.98,0.98,0.98,1.0,1.0,1.0,1.0,1.0,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,1,200
logistic_glm,beta_2,P1,naive_ml,0.9,0.885,0.885,0.885,0.885,0.885,0.007171165694458044,0.007171165694458044,0.007171165694458044,0.007171165694458044,0.007171165694458044,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,1,200
logistic_glm,beta_2,P1,naive_ml,0.95,0.945,0.945,0.945,0.945,0.945,0.007171165694458082,0.007171165694458082,0.007171165694458082,0.007171165694458082,0.007171165694458082,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,-0.0050000000000000044,1,200
logistic_glm,beta_2,P1,naive_ml,0.975,0.975,0.975,0.975,0.975,0.975,0.007171165694458061,0.007171165694458061,0.007171165694458061,0.007171165694458061,0.007171165694458061,0.0,0.0,0.0,0.0,0.0,1,200
logistic_glm,beta_2,P1,ppi,0.9,0.935,0.935,0.935,0.935,0.935,1.0021910184643035,1.0021910184643035,1.0021910184643035,1.0021910184643035,1.0021910184643035,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,1,200
logistic_glm,beta_2,P1,ppi,0.95,0.98,0.98,0.98,0.98,0.98,1.002191018464303,1.002191018464303,1.002191018464303,1.002191018464303,1.002191018464303,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,1,200
logistic_glm,beta_2,P1,ppi,0.975,0.995,0.995,0.995,0.995,0.995,1.0021910184643021,1.0021910184643021,1.0021910184643021,1.0021910184643021,1.0021910184643021,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_2,P1,ppi_plus_plus,0.9,0.93,0.93,0.93,0.93,0.93,0.9815711091026461,0.9815711091026461,0.9815711091026461,0.9815711091026461,0.9815711091026461,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,1,200
logistic_glm,beta_2,P1,ppi_plus_plus,0.95,0.965,0.965,0.965,0.965,0.965,0.9815711091026466,0.9815711091026466,0.9815711091026466,0.9815711091026466,0.9815711091026466,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_2,P1,ppi_plus_plus,0.975,0.99,0.99,0.99,0.99,0.99,0.9815711091026456,0.9815711091026456,0.9815711091026456,0.9815711091026456,0.9815711091026456,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
logistic_glm,beta_2,P2,naive_ml,0.9,0.1,0.1,0.1,0.1,0.1,0.0035983905042210845,0.0035983905042210845,0.0035983905042210845,0.0035983905042210845,0.0035983905042210845,-0.8,-0.8,-0.8,-0.8,-0.8,1,200
logistic_glm,beta_2,P2,naive_ml,0.95,0.175,0.175,0.175,0.175,0.175,0.0035983905042210928,0.0035983905042210928,0.0035983905042210928,0.0035983905042210928,0.0035983905042210928,-0.7749999999999999,-0.7749999999999999,-0.7749999999999999,-0.7749999999999999,-0.7749999999999999,1,200
logistic_glm,beta_2,P2,naive_ml,0.975,0.27,0.27,0.27,0.27,0.27,0.003598390504221094,0.003598390504221094,0.003598390504221094,0.003598390504221094,0.003598390504221094,-0.705,-0.705,-0.705,-0.705,-0.705,1,200
logistic_glm,beta_2,P2,ppi,0.9,0.94,0.94,0.94,0.94,0.94,1.012365185667099,1.012365185667099,1.012365185667099,1.012365185667099,1.012365185667099,0.039999999999999925,0.039999999999999925,0.039999999999999925,0.039999999999999925,0.039999999999999925,1,200
logistic_glm,beta_2,P2,ppi,0.95,0.975,0.975,0.975,0.975,0.975,1.0123651856671,1.0123651856671,1.0123651856671,1.0123651856671,1.0123651856671,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,0.025000000000000022,1,200
logistic_glm,beta_2,P2,ppi,0.975,0.995,0.995,0.995,0.995,0.995,1.012365185667098,1.012365185667098,1.012365185667098,1.012365185667098,1.012365185667098,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,1,200
logistic_glm,beta_2,P2,ppi_plus_plus,0.9,0.935,0.935,0.935,0.935,0.935,0.9828718661135513,0.9828718661135513,0.9828718661135513,0.9828718661135513,0.9828718661135513,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,0.03500000000000003,1,200
logistic_glm,beta_2,P2,ppi_plus_plus,0.95,0.965,0.965,0.965,0.965,0.965,0.9828718661135529,0.9828718661135529,0.9828718661135529,0.9828718661135529,0.9828718661135529,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.015000000000000013,1,200
