scenario,target,profile,scenario_signature,method,confidence_level,seed0_average_ci_width,seed0_empirical_coverage,average_ci_width_median_seed1_29,average_ci_width_q25_seed1_29,average_ci_width_q75_seed1_29,average_ci_width_min_seed1_29,average_ci_width_max_seed1_29,empirical_coverage_median_seed1_29,empirical_coverage_q25_seed1_29,empirical_coverage_q75_seed1_29,empirical_coverage_min_seed1_29,empirical_coverage_max_seed1_29
logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.95,0.005555593474360883,0.943,0.005559294984165058,0.005553102280073716,0.005563662576868179,0.005548787047984176,0.005568838717704569,0.949,0.946,0.9525,0.941,0.961
logistic_glm,beta_1,P1,logistic_glm:P1,naive_ml,0.975,0.006353342441554571,0.971,0.006357575465343142,0.006350493527128459,0.006362570217427918,0.006345558654318524,0.006368489620172404,0.974,0.972,0.977,0.967,0.9825
logistic_glm,beta_1,P1,logistic_glm:P1,ppi,0.9,1.7184808919490757,0.9145,1.7217053134174385,1.7177781981737588,1.7261123325166172,1.7138722986461221,1.7326676649923656,0.9175,0.9155,0.922,0.912,0.9335
logistic_glm,beta_1,P1,logistic_glm:P1,ppi,0.95,2.047696281998607,0.9695,2.0515384171560647,2.0468589707210425,2.0567897043052907,2.042204804370949,2.064600864732345,0.968,0.9665,0.971,0.9635,0.975
logistic_glm,beta_1,P1,logistic_glm:P1,ppi,0.975,2.341732842022225,0.993,2.346126684097734,2.3407752980080536,2.352132023702206,2.3354528220676167,2.3610648186030714,0.9895,0.988,0.991,0.9855,0.9945
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v1,0.9,1.66992633442638,0.8965,1.6763284141395596,1.6748776780584338,1.6793283796848109,1.670672506578357,1.6881681814727436,0.8955,0.893,0.9005,0.8825,0.904
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v1,0.95,1.9898399582075745,0.9505,1.9974685067047693,1.9957398480426913,2.0010431861335136,1.9907290771663535,2.011576459642429,0.948,0.9455,0.952,0.942,0.956
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v1,0.975,2.2755687068762196,0.9795,2.2842926679000684,2.2823157845130058,2.2883806492533507,2.276585497835184,2.300426435890098,0.976,0.974,0.978,0.9705,0.982
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v2,0.9,1.6190323165601614,0.9015,1.6235946818759281,1.6215747085706003,1.626064578571484,1.617859806704913,1.6300469540467544,0.904,0.9005,0.9065,0.8935,0.914
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v2,0.95,1.9291959954792945,0.958,1.934632389062702,1.9322254424120713,1.9375754524997817,1.9277988638135066,1.942320745562069,0.954,0.9525,0.956,0.9465,0.964
logistic_glm,beta_1,P1,logistic_glm:P1,ppi_plus_plus_v2,0.975,2.206216645030124,0.984,2.21243367121137,2.209681101862911,2.2157993404111203,2.2046188938718285,2.2212260282977256,0.9785,0.977,0.9815,0.974,0.985
logistic_glm,beta_1,P2,logistic_glm:P2,naive_ml,0.9,0.0077187005545960264,0.015,0.007714860370317881,0.007712012616888327,0.007719007840629617,0.0077027597890605365,0.00772615959069298,0.013,0.0115,0.0145,0.006,0.0185
logistic_glm,beta_1,P2,logistic_glm:P2,naive_ml,0.95,0.009197398994399296,0.033,0.009192823132598737,0.009189429825092592,0.009197765148292228,0.009178404400701978,0.009206286984108462,0.0275,0.0255,0.029,0.0195,0.034
logistic_glm,beta_1,P2,logistic_glm:P2,naive_ml,0.975,0.010518088778940188,0.0545,0.010512855851599749,0.010508975286058809,0.010518507510274404,0.01049636667870833,0.010528253029168308,0.0515,0.048,0.0555,0.045,0.0615
logistic_glm,beta_1,P2,logistic_glm:P2,ppi,0.9,1.7368836772025995,0.916,1.7419935861424787,1.737527669053554,1.7434548479158518,1.7333880146270573,1.7524430281391061,0.92,0.9175,0.9245,0.9105,0.934
logistic_glm,beta_1,P2,logistic_glm:P2,ppi,0.95,2.0696245531354047,0.97,2.075713385188503,2.070391916755804,2.077454585986473,2.0654592142639685,2.0881646633061077,0.969,0.968,0.972,0.964,0.9755
logistic_glm,beta_1,P2,logistic_glm:P2,ppi,0.975,2.366809877684798,0.992,2.3737730284770664,2.3676874299895356,2.375764254973392,2.3620464218348527,2.3880122333579195,0.9895,0.988,0.99,0.9855,0.9945
