scenario,target,profile,method,method_label,confidence_level,center_empirical_coverage,q025_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,q975_empirical_coverage,center_relative_ci_width,q025_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,q975_relative_ci_width,center_coverage_error,q025_coverage_error,q25_coverage_error,q75_coverage_error,q975_coverage_error,n_seeds,n_replicates
lr,beta_0,P4,ppi_plus_plus_v2,PPI++V2,0.95,0.93675,0.9290375000000001,0.933125,0.942,0.9531375,0.9715196615627503,0.9680117476080858,0.9704423032313622,0.9724082147616409,0.9746193513399825,-0.013249999999999929,-0.020962499999999922,-0.016874999999999918,-0.008000000000000007,0.0031375000000000174,30,2000
lr,beta_0,P4,ppi_plus_plus_v2,PPI++V2,0.975,0.96575,0.9583125,0.9635,0.968,0.9741375,0.9715196615627508,0.9680117476080857,0.9704423032313603,0.972408214761642,0.9746193513399832,-0.00924999999999998,-0.0166875,-0.011499999999999955,-0.007000000000000006,-0.0008624999999999862,30,2000
lr,beta_0,baseline,classic,Classic,0.9,0.883,0.86835,0.878375,0.8865,0.9004125000000001,1.0,1.0,1.0,1.0,1.0,-0.01700000000000007,-0.031650000000000025,-0.021625000000000033,-0.013500000000000068,0.000412499999999983,30,2000
lr,beta_0,baseline,classic,Classic,0.95,0.935,0.923725,0.932,0.94025,0.9516375,1.0,1.0,1.0,1.0,1.0,-0.014999999999999902,-0.026274999999999913,-0.017999999999999905,-0.009749999999999953,0.001637500000000041,30,2000
lr,beta_0,baseline,classic,Classic,0.975,0.9645,0.958675,0.962,0.9675,0.9726375,1.0,1.0,1.0,1.0,1.0,-0.010499999999999954,-0.016324999999999958,-0.013000000000000012,-0.007499999999999951,-0.0023624999999999627,30,2000
lr,beta_1,P1,naive_ml,Naive ML,0.9,0.898,0.8853624999999999,0.894,0.9015,0.908,0.0036868764430177826,0.0036653588601334385,0.0036768520826383844,0.003692881668898243,0.0037109219079108574,-0.0020000000000000018,-0.014637500000000053,-0.006000000000000005,0.0014999999999999458,0.008000000000000007,30,2000
lr,beta_1,P1,naive_ml,Naive ML,0.95,0.94875,0.9405874999999999,0.946,0.9515,0.9566375,0.0036868764430177943,0.0036653588601334333,0.0036768520826384755,0.0036928816688983207,0.0037109219079109117,-0.0012499999999999734,-0.009412499999999994,-0.0040000000000000036,0.0015000000000000568,0.006637500000000045,30,2000
lr,beta_1,P1,naive_ml,Naive ML,0.975,0.974,0.9673625,0.971,0.9755,0.980325,0.003686876443017772,0.0036653588601333943,0.003676852082638451,0.003692881668898288,0.003710921907910916,-0.0010000000000000009,-0.007637499999999966,-0.0040000000000000036,0.000500000000000056,0.005325000000000056,30,2000
lr,beta_1,P1,ppi,PPI,0.9,0.89775,0.8821625,0.894,0.9015,0.9076125,1.0090826340334313,1.0026116273723924,1.006791022918658,1.0122239048297315,1.015566561659217,-0.0022500000000000298,-0.017837500000000055,-0.006000000000000005,0.0014999999999999458,0.007612499999999978,30,2000
lr,beta_1,P1,ppi,PPI,0.95,0.9464999999999999,0.9393125,0.9425,0.9508749999999999,0.9536375,1.0090826340334325,1.0026116273723935,1.0067910229186579,1.0122239048297275,1.0155665616592195,-0.003500000000000003,-0.010687499999999994,-0.007499999999999951,0.0008750000000000147,0.0036375000000000426,30,2000
lr,beta_1,P1,ppi,PPI,0.975,0.9722500000000001,0.9673625,0.9686250000000001,0.975625,0.9787750000000001,1.0090826340334345,1.0026116273723917,1.0067910229186587,1.012223904829728,1.0155665616592202,-0.0027499999999999747,-0.007637499999999966,-0.006374999999999964,0.0006250000000000144,0.0037750000000000574,30,2000
lr,beta_1,P1,ppi_plus_plus_v1,PPI++V1,0.9,0.87575,0.86235,0.8718750000000001,0.881875,0.8895500000000001,0.9877447748053454,0.9824233750229373,0.9865451876956826,0.9886424484572671,0.9913606256820797,-0.02425000000000005,-0.03765000000000003,-0.028124999999999983,-0.01812500000000003,-0.010450000000000011,30,2000
lr,beta_1,P1,ppi_plus_plus_v1,PPI++V1,0.95,0.9297500000000001,0.921225,0.927,0.9339999999999999,0.9404625,0.9877447748053443,0.9824233750229363,0.9865451876956853,0.9886424484572671,0.9913606256820782,-0.020249999999999935,-0.02877499999999997,-0.02299999999999991,-0.01599999999999996,-0.009537499999999973,30,2000
lr,beta_1,P1,ppi_plus_plus_v1,PPI++V1,0.975,0.9592499999999999,0.9537249999999999,0.956,0.961375,0.9671500000000001,0.9877447748053445,0.9824233750229378,0.9865451876956863,0.9886424484572673,0.9913606256820773,-0.015749999999999986,-0.02127500000000002,-0.019000000000000017,-0.01362499999999997,-0.00784999999999996,30,2000
lr,beta_1,P1,ppi_plus_plus_v2,PPI++V2,0.9,0.88375,0.868525,0.880125,0.889,0.895825,0.9566097461865618,0.9530551287424738,0.9554755810819257,0.9584783196605022,0.9605089672844336,-0.016250000000000042,-0.03147500000000003,-0.01987500000000003,-0.01100000000000001,-0.004175000000000008,30,2000
lr,beta_1,P1,ppi_plus_plus_v2,PPI++V2,0.95,0.937,0.9273125,0.9333750000000001,0.941375,0.944275,0.9566097461865632,0.953055128742473,0.9554755810819273,0.9584783196605012,0.9605089672844344,-0.0129999999999999,-0.022687499999999923,-0.016624999999999918,-0.008624999999999994,-0.005725000000000006,30,2000
