seed,scenario,target,profile,method,confidence_level,n_labeled,n_unlabeled,n_replicates,average_ci_width,empirical_coverage
0,lr,beta_1,baseline,classic,0.9,60,600,2000,0.7244698107365527,0.885
0,lr,beta_1,P1,naive_ml,0.95,60,600,2000,0.0031974522391801192,0.9395
0,lr,beta_1,P1,ppi,0.95,60,600,2000,0.8775884975095573,0.9505
0,lr,beta_1,P1,ppi_plus_plus,0.95,60,600,2000,0.8293257606081543,0.937
0,lr,beta_1,P2,naive_ml,0.95,60,600,2000,7.517688139054924e-17,1.0
0,lr,beta_1,P2,ppi,0.95,60,600,2000,0.8794307830937541,0.9515
0,lr,beta_1,P2,ppi_plus_plus,0.95,60,600,2000,0.8299223845992553,0.938
0,lr,beta_1,P3,naive_ml,0.95,60,600,2000,7.372962825052289e-17,1.0
0,lr,beta_1,P3,ppi,0.95,60,600,2000,0.8796611647200074,0.95
0,lr,beta_1,P3,ppi_plus_plus,0.95,60,600,2000,0.8299878480302655,0.937
0,lr,beta_1,P4,naive_ml,0.95,60,600,2000,0.03197452239180114,0.9395
0,lr,beta_1,P4,ppi,0.95,60,600,2000,0.8841527937358958,0.947
0,lr,beta_1,P4,ppi_plus_plus,0.95,60,600,2000,0.8311948452719721,0.935
0,lr,beta_1,baseline,classic,0.95,60,600,2000,0.8632590241855483,0.935
0,lr,beta_1,P1,naive_ml,0.975,60,600,2000,0.00365658666527318,0.9695
0,lr,beta_1,P1,ppi,0.975,60,600,2000,1.0036047945514939,0.9715
0,lr,beta_1,P1,ppi_plus_plus,0.975,60,600,2000,0.9484118262185247,0.9635
0,lr,beta_1,P2,naive_ml,0.975,60,600,2000,8.59718180184586e-17,1.0
0,lr,beta_1,P2,ppi,0.975,60,600,2000,1.005711620986072,0.973
0,lr,beta_1,P2,ppi_plus_plus,0.975,60,600,2000,0.9490941217359716,0.964
0,lr,beta_1,P3,naive_ml,0.975,60,600,2000,8.431674825127035e-17,1.0
0,lr,beta_1,P3,ppi,0.975,60,600,2000,1.0059750839933246,0.972
0,lr,beta_1,P3,ppi_plus_plus,0.975,60,600,2000,0.9491689853120273,0.9625
0,lr,beta_1,P4,naive_ml,0.975,60,600,2000,0.03656586665273182,0.9695
0,lr,beta_1,P4,ppi,0.975,60,600,2000,1.0111116832405629,0.9735
0,lr,beta_1,P4,ppi_plus_plus,0.975,60,600,2000,0.9505492999153105,0.9635
0,lr,beta_1,baseline,classic,0.975,60,600,2000,0.987217697213523,0.963
0,lr,beta_2,P1,naive_ml,0.9,60,600,2000,0.003099755735551244,0.8965
0,lr,beta_2,P1,ppi,0.9,60,600,2000,0.8521868341791995,0.893
0,lr,beta_2,P1,ppi_plus_plus,0.9,60,600,2000,0.8326947561089827,0.8875
0,lr,beta_2,P2,naive_ml,0.9,60,600,2000,6.617340894787436e-17,1.0
0,lr,beta_2,P2,ppi,0.9,60,600,2000,0.8538206436524519,0.893
0,lr,beta_2,P2,ppi_plus_plus,0.9,60,600,2000,0.8328523208417437,0.885
0,lr,beta_2,P3,naive_ml,0.9,60,600,2000,6.455299599910568e-17,0.0
0,lr,beta_2,P3,ppi,0.9,60,600,2000,0.8521293144847202,0.8925
0,lr,beta_2,P3,ppi_plus_plus,0.9,60,600,2000,0.8326321949419034,0.8855
0,lr,beta_2,P4,naive_ml,0.9,60,600,2000,0.03099755735551243,0.8965
0,lr,beta_2,P4,ppi,0.9,60,600,2000,0.8585014586218023,0.8885
0,lr,beta_2,P4,ppi_plus_plus,0.9,60,600,2000,0.8332792133879411,0.886
0,lr,beta_2,baseline,classic,0.9,60,600,2000,0.8445632759065239,0.8845
0,lr,beta_2,P1,naive_ml,0.95,60,600,2000,0.0036935867745337913,0.949
0,lr,beta_2,P1,ppi,0.95,60,600,2000,1.0154432441420638,0.9525
0,lr,beta_2,P1,ppi_plus_plus,0.95,60,600,2000,0.9922170005569225,0.941
0,lr,beta_2,P2,naive_ml,0.95,60,600,2000,7.885048015637234e-17,1.0
0,lr,beta_2,P2,ppi,0.95,60,600,2000,1.0173900482057787,0.949
0,lr,beta_2,P2,ppi_plus_plus,0.95,60,600,2000,0.9924047505161803,0.9395
0,lr,beta_2,P3,naive_ml,0.95,60,600,2000,7.691963903614756e-17,0.0
0,lr,beta_2,P3,ppi,0.95,60,600,2000,1.0153747051986959,0.9515
0,lr,beta_2,P3,ppi_plus_plus,0.95,60,600,2000,0.9921424543284372,0.9405
0,lr,beta_2,P4,naive_ml,0.95,60,600,2000,0.03693586774533792,0.949
0,lr,beta_2,P4,ppi,0.95,60,600,2000,1.0229675832568652,0.948
0,lr,beta_2,P4,ppi_plus_plus,0.95,60,600,2000,0.9929134243593162,0.9395
0,lr,beta_2,baseline,classic,0.95,60,600,2000,1.0063592141690225,0.939
0,lr,beta_2,P1,naive_ml,0.975,60,600,2000,0.004223963060743895,0.9755
0,lr,beta_2,P1,ppi,0.975,60,600,2000,1.1612546327896656,0.976
0,lr,beta_2,P1,ppi_plus_plus,0.975,60,600,2000,1.1346932438384516,0.972
0,lr,beta_2,P2,naive_ml,0.975,60,600,2000,9.017292291568695e-17,1.0
0,lr,beta_2,P2,ppi,0.975,60,600,2000,1.1634809859129644,0.974
0,lr,beta_2,P2,ppi_plus_plus,0.975,60,600,2000,1.1349079535341964,0.9715
0,lr,beta_2,P3,naive_ml,0.975,60,600,2000,8.796482491614147e-17,0.0
0,lr,beta_2,P3,ppi,0.975,60,600,2000,1.161176252076644,0.9765
0,lr,beta_2,P3,ppi_plus_plus,0.975,60,600,2000,1.1346079932312054,0.972
0,lr,beta_2,P4,naive_ml,0.975,60,600,2000,0.042239630607438974,0.9755
0,lr,beta_2,P4,ppi,0.975,60,600,2000,1.1698594206063695,0.9735
0,lr,beta_2,P4,ppi_plus_plus,0.975,60,600,2000,1.1354896698047263,0.969
0,lr,beta_2,baseline,classic,0.975,60,600,2000,1.1508661921245256,0.9695
0,mean,theta,P1,naive_ml,0.9,60,600,2000,0.08064473774833068,0.897
0,mean,theta,P1,ppi,0.9,60,600,2000,0.43094106499982765,0.8875
0,mean,theta,P1,ppi_plus_plus,0.9,60,600,2000,0.42771082671960214,0.883
0,mean,theta,P2,naive_ml,0.9,60,600,2000,0.08063016459517279,0.22
0,mean,theta,P2,ppi,0.9,60,600,2000,0.43089991305645514,0.8875
0,mean,theta,P2,ppi_plus_plus,0.9,60,600,2000,0.42767719997711157,0.883
0,mean,theta,P3,naive_ml,0.9,60,600,2000,0.07691640610824457,0.8955
0,mean,theta,P3,ppi,0.9,60,600,2000,0.4310523741838326,0.8815
0,mean,theta,P3,ppi_plus_plus,0.9,60,600,2000,0.42863561672909656,0.8805
0,mean,theta,P4,naive_ml,0.9,60,600,2000,0.08210240033307767,0.895
0,mean,theta,P4,ppi,0.9,60,600,2000,0.43405864718669546,0.8875
0,mean,theta,P4,ppi_plus_plus,0.9,60,600,2000,0.4300072186635453,0.883
0,mean,theta,baseline,classic,0.9,60,600,2000,0.493557230812561,0.8945
0,mean,theta,P1,naive_ml,0.95,60,600,2000,0.0960941319881161,0.949
