scenario,target,profile,method,confidence_level,center_empirical_coverage,q25_empirical_coverage,q75_empirical_coverage,center_relative_ci_width,q25_relative_ci_width,q75_relative_ci_width,center_coverage_error,q25_coverage_error,q75_coverage_error,n_seeds,n_replicates
logistic_glm,beta_2,P2,ppi_plus_plus,0.975,0.97875,0.9765,0.9808749999999999,0.9860029554941303,0.9855631790963013,0.9866612934187247,0.003750000000000031,0.0015000000000000568,0.005875000000000019,30,2000
logistic_glm,beta_2,P3,naive_ml,0.9,0.0,0.0,0.0,0.002104806952062284,0.002102100142971584,0.002106899461050504,-0.9,-0.9,-0.9,30,2000
logistic_glm,beta_2,P3,naive_ml,0.95,0.0,0.0,0.0,0.002104806952062287,0.002102100142971585,0.0021068994610505005,-0.95,-0.95,-0.95,30,2000
logistic_glm,beta_2,P3,naive_ml,0.975,0.0,0.0,0.0,0.0021048069520622882,0.0021021001429715846,0.0021068994610504996,-0.975,-0.975,-0.975,30,2000
logistic_glm,beta_2,P3,ppi,0.9,0.9125000000000001,0.909,0.918875,1.018586913316784,1.016311836504129,1.0204849613294686,0.012500000000000011,0.009000000000000008,0.018875000000000003,30,2000
logistic_glm,beta_2,P3,ppi,0.95,0.963,0.9592499999999999,0.965875,1.018586913316783,1.0163118365041284,1.0204849613294689,0.013000000000000012,0.009250000000000008,0.015875000000000028,30,2000
logistic_glm,beta_2,P3,ppi,0.975,0.9845,0.981625,0.986375,1.0185869133167826,1.016311836504126,1.0204849613294666,0.009500000000000064,0.0066250000000000475,0.011375000000000052,30,2000
logistic_glm,beta_2,P3,ppi_plus_plus,0.9,0.90225,0.8995,0.90725,0.984113125445688,0.9838119110821832,0.9849202040901639,0.0022499999999999742,-0.000500000000000056,0.007249999999999951,30,2000
logistic_glm,beta_2,P3,ppi_plus_plus,0.95,0.9545,0.9515,0.9575,0.9841131254456865,0.9838119110821846,0.984920204090165,0.0045000000000000595,0.0015000000000000568,0.007500000000000062,30,2000
logistic_glm,beta_2,P3,ppi_plus_plus,0.975,0.97875,0.9765,0.981375,0.9841131254456872,0.983811911082186,0.9849202040901647,0.003750000000000031,0.0015000000000000568,0.006375000000000047,30,2000
