experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
a_mean,9,rf,RF,Random Forest Classifier,Brier,0.11840687690546924,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11851157225107083,4794,19176
a_mean,10,dt,DT,Decision Tree Classifier,Brier,0.12167143628256517,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12444978813519188,4794,19176
a_mean,10,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1163357849804566,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11877118569508856,4794,19176
a_mean,10,lin,LIN,Logistic Regression,Brier,0.11610545376458677,"{""model__C"": 10.0}",0.11657682731085078,4794,19176
a_mean,10,rf,RF,Random Forest Classifier,Brier,0.11636996149634299,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12149628164815596,4794,19176
a_mean,11,dt,DT,Decision Tree Classifier,Brier,0.12286877065127444,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.12153805516111305,4794,19176
a_mean,11,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11764129328236643,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11987098692458886,4794,19176
a_mean,11,lin,LIN,Logistic Regression,Brier,0.11758527485357745,"{""model__C"": 10.0}",0.11679790495936422,4794,19176
a_mean,11,rf,RF,Random Forest Classifier,Brier,0.11841954225756422,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11916557342294275,4794,19176
a_mean,12,dt,DT,Decision Tree Classifier,Brier,0.12435131270020838,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1130478057409967,4794,19176
a_mean,12,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11804321278256019,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.10744848522253364,4794,19176
a_mean,12,lin,LIN,Logistic Regression,Brier,0.11727914343797095,"{""model__C"": 10.0}",0.1083865725741343,4794,19176
a_mean,12,rf,RF,Random Forest Classifier,Brier,0.11809562618507305,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.10751212095687654,4794,19176
a_mean,13,dt,DT,Decision Tree Classifier,Brier,0.12088317698702054,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1228410681499285,4794,19176
a_mean,13,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1162479772667839,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11964499677744891,4794,19176
a_mean,13,lin,LIN,Logistic Regression,Brier,0.11649152018222331,"{""model__C"": 10.0}",0.11723658176206629,4794,19176
a_mean,13,rf,RF,Random Forest Classifier,Brier,0.11718328766850031,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11843969074557567,4794,19176
a_mean,14,dt,DT,Decision Tree Classifier,Brier,0.1244294905699617,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 50}",0.12142858480524232,4794,19176
a_mean,14,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11712917511305754,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11715105042218855,4794,19176
a_mean,14,lin,LIN,Logistic Regression,Brier,0.11727350902923074,"{""model__C"": 10.0}",0.11703207890423183,4794,19176
a_mean,14,rf,RF,Random Forest Classifier,Brier,0.11753540426179772,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11632705480774831,4794,19176
a_mean,15,dt,DT,Decision Tree Classifier,Brier,0.13081036173625876,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.12530146142225418,4794,19176
a_mean,15,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11693592566782193,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11875860696233455,4794,19176
a_mean,15,lin,LIN,Logistic Regression,Brier,0.11621848893102998,"{""model__C"": 10.0}",0.11695565021013742,4794,19176
