experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
b_lr,29,dt,DT,Decision Tree Regressor,MSE,4398376996.907815,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4491111786.605863,6364,25458
b_lr,29,gb,GB,Histogram Gradient Boosting Regressor,MSE,4067090819.8230715,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3831933736.085277,6364,25458
b_lr,29,lin,LIN,Ridge Regression,MSE,4486270826.45895,"{""model__alpha"": 10.0}",4505106112.987688,6364,25458
b_lr,29,rf,RF,Random Forest Regressor,MSE,4115233585.874558,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4063479221.487726,6364,25458
b_lr,30,dt,DT,Decision Tree Regressor,MSE,4652185321.705878,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4329206321.663358,6364,25458
b_lr,30,gb,GB,Histogram Gradient Boosting Regressor,MSE,4291002724.767868,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4015796156.234105,6364,25458
b_lr,30,lin,LIN,Ridge Regression,MSE,4669174953.897962,"{""model__alpha"": 10.0}",4327073081.490199,6364,25458
b_lr,30,rf,RF,Random Forest Regressor,MSE,4354478300.174414,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4163108313.4618287,6364,25458
b_lr,31,dt,DT,Decision Tree Regressor,MSE,4343713073.288669,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",3690867472.747388,6364,25458
b_lr,31,gb,GB,Histogram Gradient Boosting Regressor,MSE,4032528630.9479904,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3331897066.589789,6364,25458
b_lr,31,lin,LIN,Ridge Regression,MSE,4442118614.79392,"{""model__alpha"": 10.0}",3596910508.937705,6364,25458
b_lr,31,rf,RF,Random Forest Regressor,MSE,4102227459.8649244,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3398750698.7935815,6364,25458
b_lr,32,dt,DT,Decision Tree Regressor,MSE,3965338829.680417,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",3904938225.2550564,6364,25458
b_lr,32,gb,GB,Histogram Gradient Boosting Regressor,MSE,3708125414.129289,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3927447125.2441363,6364,25458
b_lr,32,lin,LIN,Ridge Regression,MSE,4026282568.537559,"{""model__alpha"": 10.0}",4255509491.144572,6364,25458
b_lr,32,rf,RF,Random Forest Regressor,MSE,3710805506.879543,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3688736613.143469,6364,25458
b_lr,33,dt,DT,Decision Tree Regressor,MSE,4001789587.3488054,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4077672663.9821873,6364,25458
b_lr,33,gb,GB,Histogram Gradient Boosting Regressor,MSE,3708720391.1284037,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3713130354.916231,6364,25458
b_lr,33,lin,LIN,Ridge Regression,MSE,4113049019.4742947,"{""model__alpha"": 10.0}",4188167446.4250975,6364,25458
b_lr,33,rf,RF,Random Forest Regressor,MSE,3743306839.2584777,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3774567697.363033,6364,25458
b_lr,34,dt,DT,Decision Tree Regressor,MSE,4094181775.438348,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5071680741.499601,6364,25458
b_lr,34,gb,GB,Histogram Gradient Boosting Regressor,MSE,3695861181.5295424,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4711028481.515393,6364,25458
b_lr,34,lin,LIN,Ridge Regression,MSE,4063406918.209486,"{""model__alpha"": 10.0}",5073261415.1611805,6364,25458
b_lr,34,rf,RF,Random Forest Regressor,MSE,3761629582.6706314,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4511813889.4476385,6364,25458
b_lr,35,dt,DT,Decision Tree Regressor,MSE,4267476538.723061,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5608150075.551736,6364,25458
b_lr,35,gb,GB,Histogram Gradient Boosting Regressor,MSE,3922943801.636912,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",5221136974.589416,6364,25458
b_lr,35,lin,LIN,Ridge Regression,MSE,4273251053.3260984,"{""model__alpha"": 10.0}",5555091536.444944,6364,25458
b_lr,35,rf,RF,Random Forest Regressor,MSE,3943451532.1881824,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",5279133611.654759,6364,25458
b_lr,36,dt,DT,Decision Tree Regressor,MSE,4371924370.55485,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4040447615.7678556,6364,25458
b_lr,36,gb,GB,Histogram Gradient Boosting Regressor,MSE,4112584505.6261587,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3811556646.085186,6364,25458
b_lr,36,lin,LIN,Ridge Regression,MSE,4478359321.422991,"{""model__alpha"": 10.0}",4110281278.5480285,6364,25458
b_lr,36,rf,RF,Random Forest Regressor,MSE,4118873715.2135615,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3636433682.8634667,6364,25458
b_lr,37,dt,DT,Decision Tree Regressor,MSE,4328581282.734696,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5301046288.038835,6364,25458
b_lr,37,gb,GB,Histogram Gradient Boosting Regressor,MSE,3958809270.0379643,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",5015922424.063765,6364,25458
b_lr,37,lin,LIN,Ridge Regression,MSE,4364192445.528387,"{""model__alpha"": 10.0}",5625581409.81599,6364,25458
b_lr,37,rf,RF,Random Forest Regressor,MSE,4050367306.515169,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",5178763232.173806,6364,25458
b_lr,38,dt,DT,Decision Tree Regressor,MSE,4461529440.136747,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",3256318388.988108,6364,25458
b_lr,38,gb,GB,Histogram Gradient Boosting Regressor,MSE,4001051338.9229217,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",3250945750.8500156,6364,25458
b_lr,38,lin,LIN,Ridge Regression,MSE,4472686832.823702,"{""model__alpha"": 10.0}",3356765668.115087,6364,25458
b_lr,38,rf,RF,Random Forest Regressor,MSE,4129059320.0358515,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3118971994.31269,6364,25458
b_lr,39,dt,DT,Decision Tree Regressor,MSE,4561548834.471103,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4214682867.862068,6364,25458
