experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
c_glm,9,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10672786253975453,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.1071709313329095,990,3963
c_glm,9,lin,LIN,Logistic Regression,Brier,0.1075687061814668,"{""model__C"": 1.0}",0.10723372058980167,990,3963
c_glm,9,rf,RF,Random Forest Classifier,Brier,0.1159597360017662,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11741885613160327,990,3963
c_glm,10,dt,DT,Decision Tree Classifier,Brier,0.1207068018205152,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.11156925305185335,990,3963
c_glm,10,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.10858438878706342,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.09674806611219604,990,3963
c_glm,10,lin,LIN,Logistic Regression,Brier,0.1049545944418836,"{""model__C"": 1.0}",0.09607192884624778,990,3963
c_glm,10,rf,RF,Random Forest Classifier,Brier,0.1167430130987823,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12806035718728498,990,3963
c_glm,11,dt,DT,Decision Tree Classifier,Brier,0.11224767938440308,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10}",0.11822983547413737,990,3963
c_glm,11,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1050373185120452,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11519693770277585,990,3963
c_glm,11,lin,LIN,Logistic Regression,Brier,0.1050551090044531,"{""model__C"": 0.1}",0.12144260959937989,990,3963
c_glm,11,rf,RF,Random Forest Classifier,Brier,0.10655113932316969,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.1185683743128603,990,3963
c_glm,12,dt,DT,Decision Tree Classifier,Brier,0.11845522240753728,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.11866576660654858,990,3963
c_glm,12,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1060708530296727,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11170436663604975,990,3963
c_glm,12,lin,LIN,Logistic Regression,Brier,0.10822357029643835,"{""model__C"": 1.0}",0.1164918835865415,990,3963
