experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.15,1890752.2982678737,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.175,1861483.570607389,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.2,1833208.4546376667,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.225,1805927.505081701,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.25,1779641.2816193663,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.275,1754350.3488900324,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.3,1730055.2764957466,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.325,1706756.6390032452,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.35,1684455.0159478085,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.375,1663150.991835148,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.4,1642845.156143959,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.425,1623538.103332038,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.45,1605230.4328337088,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.475,1587922.749067953,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.5,1571615.6614393727,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.525,1556309.7843418089,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.55,1542005.7371592326,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.575,1528704.1442725929,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.6,1516405.6350597953,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.625,1505110.843901907,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.65,1494820.410183542,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.675,1485534.9782971146,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.7,1477255.1976484836,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.725,1469981.722656758,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.75,1463715.2127593663,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.775,1458456.3324171798,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.8,1454205.7511149412,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.825,1450964.1433662358,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.85,1448732.1887180381,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.875,1447510.57175297,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.9,1447299.9820933226,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.925,1448101.1144045957,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.95,1449914.6683996548,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,0.975,1452741.3488429626,,
b_lr,6,rf,ppi_plus_plus_v2,lambda_grid,1.0,1456581.865552511,,
b_lr,6,rf,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.683873263886198e-06,,
b_lr,6,rf,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,8.440110832452774e-10,,
